constraint_id,surface,message,constraint_name,left_paths,right_paths,relation_type,standard_basis,charging_relevance,scenario_ids
T2-R14,T2,PFCP URR,Linked-URR graph validity,URR.Linked URR ID and LIUSA trigger,active URR graph and reporting purpose,graph,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A39
T2-R15,T2,PFCP URR,Quota-action and exemption-scope binding,URR.FAR ID for Quota Action / Exempted SDF/Application IDs,authorized quota-exhaustion policy and PDR scope,authorization,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A34 | T2-A40 | T2-A41 | T2-A42
T2-R16,T2,PFCP Session Modification Request,Post-state reference integrity after create/update/remove,all create/update/remove rule operations,resulting PDR/FAR/URR/QER/BAR/TE/MAR/SRR graph,state-transition,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A02 | T2-A05 | T2-A19 | T2-A21 | T2-A24 | T2-A28 | T2-A49 | T2-A50 | T2-A57 | T2-A62 | T2-A63 | T2-A64
T2-R17,T2,PFCP Session Modification Request,SUMPC/RUMUC/QAURR counter-state semantics,PFCPSMReq-Flags.SUMPC/RUMUC/QAURR,URR update/query operations and accumulated usage state,state-transition,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A44 | T2-A46 | T2-A47 | T2-A48
T2-R18,T2,PFCP Session Modification Request,Query-URR correlation,Query URR.URR ID / Query URR Reference,returned Usage Reports and active query transaction,correlation,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A48
T2-R19,T2,PFCP Session Establishment/Modification Request,Session DNN/S-NSSAI/user/RAT context binding,"APN/DNN, S-NSSAI, User ID, RAT Type, PDN Type, Network Instance",PDU session/subscriber context and charging tariff map,context-binding,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DEPLOYMENT,T2-A09 | T2-A11 | T2-A12 | T2-A27 | T2-A51 | T2-A52 | T2-A53 | T2-A59 | T2-A61
T2-R20,T2,PFCP Session Establishment Request,Recovery timestamp and state epoch,Recovery Time Stamp,PFCP association restart epoch and installed-rule history,freshness,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A04
T2-R21,T2,PFCP FAR/PDR/URR,Forwarding action and accounting outcome consistency,FAR.Apply Action/Forwarding Parameters,"PDR matching, URR measurement point and delivered-service state",semantic,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DEPLOYMENT,T2-A20 | T2-A21 | T2-A40 | T2-A54 | T2-A55 | T2-A56 | T2-A60
T2-R22,T2,PFCP QER/PDR,QoS/QFI context bound to tariff,QER.QFI/QER QoS fields/PDR PDI.QFI,authorized 5QI/QFI/rating context,context-binding,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DEPLOYMENT,T2-A14 | T2-A26 | T2-A58
T2-R23,T2,PFCP rule graph,Rule activation/deactivation lifecycle,PDR Activation Time/Deactivation Time and update order,active session clock and policy condition,lifecycle,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DEPLOYMENT,T2-A18 | T2-A65
T2-R24,T2,PFCP rule graph,No duplicate semantic rule objects,multiple PDR/URR/QER/FAR entries with different IDs,"canonical selector, charging purpose and action",uniqueness,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",DIRECT,T2-A06 | T2-A22 | T2-A32 | T2-A55 | T2-A64
T3-R01,T3,PFCP Usage Report carriers,Usage report bound to PFCP session,PFCP Header.seid / Old CP F-SEID,"active PFCP session, peer association and installed URR state",context-binding,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A01 | T3-A04
T3-R02,T3,PFCP Usage Report carriers,PFCP transaction idempotence,PFCP Header.sequenceNumber/FO and retransmission context,processed request/response transaction set,freshness,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A02 | T3-A03 | T3-A49 | T3-A51
T3-R03,T3,Session Report Request,Report-Type flags match included report IEs,Report Type.USAR/DLDR/ERIR/UPIR/TMIR/SESR/UISR,included Usage Report/Downlink Data/Error/Session report IEs,presence/dispatch,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A05 | T3-A06
T3-R04,T3,PFCP Usage Report carriers,Carrier-specific Usage-Report IE type and semantics,Session Modification Response / Deletion Response / Session Report Request carrier,Usage Report IE type and operation result/termination context,context-binding,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A07 | T3-A47
T3-R05,T3,PFCP Usage Report carriers,Uniqueness of Usage Reports for one accounting boundary,repeated Usage Report grouped IEs,PFCP session + URR ID + UR-SEQN + trigger/boundary,uniqueness,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A08 | T3-A09
T3-R06,T3,PFCP Usage Report carriers,Additional-usage-report completeness,Additional Usage Reports Information.AURI/count,actual current/follow-on Usage Report cardinality and transactions,completeness,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A10 | T3-A11 | T3-A49
T3-R07,T3,PFCP Usage Report,URR-ID active-context binding,Usage Report.URR ID,active URR IDs installed in same PFCP session,reference,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A12 | T3-A13 | T3-A14
T3-R08,T3,PFCP Usage Report,UR-SEQN monotonicity and replay window,Usage Report.UR-SEQN,last accepted sequence per PFCP session+URR and restart epoch,freshness,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A02 | T3-A03 | T3-A07 | T3-A14 | T3-A15
T3-R09,T3,PFCP Usage Report,Query-URR-reference correlation,Usage Report.Query URR Reference,pending Query URR request/reference and URR set,correlation,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A16
T3-R10,T3,PFCP Usage Report,"Volume flags, length, and payload consistency",TOVOL/ULVOL/DLVOL/TONOP/ULNOP/DLNOP,declared IE length and corresponding value sequence,structural,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A18 | T3-A19 | T3-A20 | T3-A22 | T3-A26 | T3-A27 | T3-A28
T3-R11,T3,PFCP Usage Report,Volume and packet arithmetic consistency,totalVolume/totalNumberOfPackets,uplink+downlink volume/packet counts when all present,arithmetic,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A17 | T3-A18 | T3-A19 | T3-A21 | T3-A22 | T3-A23 | T3-A24 | T3-A25
T3-R12,T3,PFCP Usage Report,Temporal ordering and duration consistency,Start Time/End Time/Time of First Packet/Time of Last Packet/Event Time Stamp,Duration Measurement and accounting boundary clock,temporal,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A25 | T3-A29 | T3-A30 | T3-A31 | T3-A32 | T3-A33 | T3-A34
T3-R13,T3,PFCP Usage Report,Usage-report trigger bound to installed URR state,Usage Report Trigger bits,installed URR Reporting Triggers/threshold/quota and actual boundary event,semantic,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A35 | T3-A36 | T3-A37 | T3-A43
T3-R14,T3,PFCP Usage Report,Usage-Information flags bound to monitoring/QoS boundary,Usage Information.BEF/AFT/UAE/UBE,"Monitoring Time, Measurement Information, QoS enforcement state",semantic,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A38 | T3-A39
T3-R15,T3,PFCP Usage Report,Application/PDR/URR context binding,Application Detection Information.Application ID/PDR ID/Flow Information,active PDR and its URR/charging context,reference/context,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DEPLOYMENT,T3-A40 | T3-A44
T3-R16,T3,PFCP Usage Report,UE-IP/Network-Instance bound to session,Usage Report.UE IP address/Network Instance,"PFCP session UE address, DNN and subscriber context",context-binding,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A41
T3-R17,T3,PFCP Usage Report,Event timestamp bound to tariff window,Event Time Stamp / Start/End Time,tariff change time and report trigger,context-binding,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DEPLOYMENT,T3-A31 | T3-A38 | T3-A42 | T3-A43
T3-R18,T3,Modification/Deletion Response,Response cause/result and usage-application consistency,Cause/Failed Rule/Partial Failure,included Usage Reports and request operation result,semantic,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A45
T3-R19,T3,Deletion/termination carrier,Final-usage completeness at session deletion,Deletion Response Usage Reports / Session Report PSDBU/TERMR/TEBUR,all active URRs and accumulated but unreported usage,completeness,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T2-A65 | T3-A36 | T3-A46 | T3-A47 | T3-A48 | T3-A51
T3-R20,T3,PFCP Usage Report,Wire representation equals host-parsed charging state,raw PFCP IE bytes/order/length/duplicates,host decoded Usage Report object consumed by charging logic,derivation,"3GPP TS 29.244 V17.10.0 §§7.5.5.2, 7.5.7.2, 7.5.8.3, 8.2",DIRECT,T3-A03 | T3-A09 | T3-A25 | T3-A26 | T3-A27 | T3-A28 | T3-A50
T4N-R01,T4-Nchf,Nchf ChargingDataRequest Create/Update/Release,"Subscriber, chargingId, and PDU-session binding","subscriberIdentifier, chargingId, pDUSessionChargingInformation.chargingId/sMFchargingId/homeProvidedChargingId","PDU session ID, SMF session and CHF charging-data resource",context/attribution,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A01 | T4N-A02 | T4N-A48 | T4N-A73
T4N-R02,T4-Nchf,Nchf ChargingDataRequest,Invocation sequence/time/retransmission idempotence,"invocationSequenceNumber, invocationTimeStamp, retransmissionIndicator",CHF resource version and processed invocation set,freshness,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A04 | T4N-A05 | T4N-A06 | T4N-A07
T4N-R03,T4-Nchf,Nchf Create/Update/Release,Operation lifecycle and final usage,"HTTP operation Create/Update/Release, oneTimeEvent/oneTimeEventType",charging resource state and all pending used units,lifecycle/completeness,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A08 | T4N-A09 | T4N-A10 | T4N-A69 | T4N-A71
T4N-R04,T4-Nchf,Nchf ChargingDataRequest,NF-consumer/UPF identity bound to producer,"nfConsumerIdentification, multipleUnitUsage.uPFID, roamingQBCInformation.uPFID",authenticated SMF/UPF NF instances and PDU session path,attribution/provenance,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A11 | T4N-A12 | T4N-A52
T4N-R05,T4-Nchf,multipleUnitUsage,Rating-group/service tuple uniqueness,"multipleUnitUsage.ratingGroup, usedUnitContainer.serviceId",array cardinality and charging purpose,uniqueness,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A05 | T4N-A13 | T4N-A14 | T4N-A15 | T4N-A16 | T4N-A17
T4N-R06,T4-Nchf,usedUnitContainer / multipleQFIcontainer,Usage quantity arithmetic,totalVolume,uplinkVolume + downlinkVolume,arithmetic,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A18 | T4N-A19 | T4N-A20 | T4N-A21 | T4N-A28 | T4N-A39 | T4N-A40
T4N-R07,T4-Nchf,usedUnitContainer / multipleQFIcontainer,Unit type matches policy/measurement basis,"time,total/uplink/downlinkVolume,serviceSpecificUnits,eventTimeStamps",T1/T2 metering method and T3 accepted usage,derivation/semantic,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A18 | T4N-A19 | T4N-A21 | T4N-A22 | T4N-A23 | T4N-A24 | T4N-A25 | T4N-A75
T4N-R08,T4-Nchf,usedUnitContainer / multipleQFIcontainer,Local-sequence-number freshness,localSequenceNumber,last accepted sequence per chargingId+ratingGroup/QFI/container,freshness,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A05 | T4N-A17 | T4N-A26 | T4N-A27 | T4N-A28 | T4N-A41
T4N-R09,T4-Nchf,Triggers,Trigger type/category/limit/timestamp consistency,"triggers.*, triggerTimestamp, tariffTimeChange","actual PFCP boundary, quota/tariff event and invocation time",semantic/context,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A29 | T4N-A30 | T4N-A31 | T4N-A32
T4N-R10,T4-Nchf,multipleUnitUsage,Requested-unit and used-unit/quota-state separation,requestedUnit.*,"usedUnitContainer.*, quotaManagementIndicator and CHF granted unit state",semantic,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A33 | T4N-A34 | T4N-A35
T4N-R11,T4-Nchf,roamingQBCInformation.multipleQFIcontainer,QFI container bound to rating/policy context,"qFI, QoSInformation/QoSCharacteristics, 3gppChargingId","rating group, PDU session QFI/QoS and accepted PFCP usage",context/derivation,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A37 | T4N-A38 | T4N-A39 | T4N-A40 | T4N-A41 | T4N-A43 | T4N-A45
T4N-R12,T4-Nchf,roamingQBCInformation,Roaming profile and partial-record continuity,roamingChargingProfile.triggers/partialRecordMethod,"inter-PLMN agreement, prior partial records and final record",lifecycle/completeness,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A46 | T4N-A47
T4N-R13,T4-Nchf,PDU/QFI container,Usage-time ordering and tariff context,"timeofFirstUsage, timeofLastUsage, reportTime, triggerTimestamp, eventTimeStamps","invocationTimeStamp, session start/stop, tariffTimeChange",temporal/context,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A07 | T4N-A24 | T4N-A32 | T4N-A42 | T4N-A59 | T4N-A72
T4N-R14,T4-Nchf,pDUSessionChargingInformation,PDU-session context binding,"pduSessionID, dnnId, pduType, sscMode, S-NSSAI, RAT, serving PLMN, addresses",actual PDU session/subscription context,context/attribution,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DEPLOYMENT,T4N-A36 | T4N-A48 | T4N-A49 | T4N-A50 | T4N-A51 | T4N-A52 | T4N-A63 | T4N-A74 | T4N-A75
T4N-R15,T4-Nchf,pDUSessionChargingInformation,User identity and authentication-state consistency,userInformation.servedGPSI/servedPEI/unauthenticatedFlag/roamerInOut,"subscriberIdentifier, actual authentication/roaming state",attribution/context,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DIRECT,T4N-A01 | T4N-A53 | T4N-A54 | T4N-A74
T4N-R16,T4-Nchf,location and PRA structures,Location/PRA bound to session and timestamp,"userLocationInformation, mAPDUNon3GPPUserLocationInfo, presenceReportingAreaInformation","current access location, age/timestamp, PLMN and roaming tariff zone",context,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DEPLOYMENT,T4N-A55 | T4N-A56 | T4N-A57 | T4N-A70 | T4N-A72
T4N-R17,T4-Nchf,QoSInformation/QoSCharacteristics,QoS copies and QFI/5QI context consistency,qoSInformation/qosId/5qi and qoSCharacteristics,T1/T2 authorized QoS/QFI and tariff map,context/derivation,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DEPLOYMENT,T4N-A38 | T4N-A43 | T4N-A44 | T4N-A60 | T4N-A61
T4N-R18,T4-Nchf,PDU container,Sponsor/AF/application attribution,"sponsorIdentity, applicationserviceProviderIdentity, afChargingIdentifier, afChargingIdString, chargingRuleBaseName",authorized PCC/application/AF context,attribution,"3GPP TS 32.291 V17.14.0 §5.2.2.2–5.2.2.4, §6.1.6.2 and Annex A; TS 32.255 V17.14.0; TS 29.571 V17.12.0",DEPLOYMENT,T4N-A62
