field_position_id,surface,message,message_variant,protocol,field_path,parent_path,field_name,field_kind,presence,cardinality,data_type,standard_document,standard_version,standard_reference,charging_relevance,relevance_reason,constraint_ids,scenario_ids,review_status
FP-0016,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.refUmData,SmPolicyDecision.sessRules,refUmData,OpenAPI leaf field,O/C,,string; nullable,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,Directly mapped to charging-threat candidate(s): T1-A41.,T1-R03 | T1-R07,T1-A41,REVIEWED
FP-0017,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.refUmN3gData,SmPolicyDecision.sessRules,refUmN3gData,OpenAPI leaf field,O/C,,string; nullable,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,Directly mapped to charging-threat candidate(s): T1-A41.,T1-R03 | T1-R07,T1-A41,REVIEWED
FP-0018,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.sessRules.refCondData,SmPolicyDecision.sessRules,refCondData,OpenAPI leaf field,O/C,,string; nullable,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DEPLOYMENT,"Charging effect depends on tariff, feature, or deployment conditions; candidate(s): T1-A28, T1-A29.",T1-R06,T1-A28 | T1-A29,REVIEWED
FP-0019,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.flowDescription,SmPolicyDecision.pccRules.flowInfos,flowDescription,OpenAPI leaf field,O/C,,FlowDescription,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A06, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A06 | T1-A11 | T1-A12,REVIEWED
FP-0020,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddr,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,destMacAddr,OpenAPI leaf field,O/C,,MacAddr48 (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0021,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.ethType,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,ethType,OpenAPI leaf field,M,,string,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0022,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDesc,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,fDesc,OpenAPI leaf field,O/C,,FlowDescription,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0023,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.fDir,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,fDir,OpenAPI leaf field,O/C,,FlowDirection (TS29512_Npcf_SMPolicyControl.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0024,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.sourceMacAddr,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,sourceMacAddr,OpenAPI leaf field,O/C,,MacAddr48 (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0025,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.vlanTags,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,vlanTags,OpenAPI leaf field,O/C,1..2,"array<string>; minItems=1, maxItems=2",3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0026,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.srcMacAddrEnd,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,srcMacAddrEnd,OpenAPI leaf field,O/C,,MacAddr48 (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0027,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription.destMacAddrEnd,SmPolicyDecision.pccRules.flowInfos.ethFlowDescription,destMacAddrEnd,OpenAPI leaf field,O/C,,MacAddr48 (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A07, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A07 | T1-A11 | T1-A12,REVIEWED
FP-0028,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.packFiltId,SmPolicyDecision.pccRules.flowInfos,packFiltId,OpenAPI leaf field,O/C,,string,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A08, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12,REVIEWED
FP-0029,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.packetFilterUsage,SmPolicyDecision.pccRules.flowInfos,packetFilterUsage,OpenAPI leaf field,O/C,,boolean,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A08, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12,REVIEWED
FP-0030,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.tosTrafficClass,SmPolicyDecision.pccRules.flowInfos,tosTrafficClass,OpenAPI leaf field,O/C,,string; nullable,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A08, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12,REVIEWED
FP-0031,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.spi,SmPolicyDecision.pccRules.flowInfos,spi,OpenAPI leaf field,O/C,,string; nullable,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A08, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12,REVIEWED
FP-0032,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.flowLabel,SmPolicyDecision.pccRules.flowInfos,flowLabel,OpenAPI leaf field,O/C,,string; nullable,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A08, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12,REVIEWED
FP-0033,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.flowInfos.flowDirection,SmPolicyDecision.pccRules.flowInfos,flowDirection,OpenAPI leaf field,O/C,,FlowDirectionRm,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A08, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A08 | T1-A11 | T1-A12,REVIEWED
FP-0034,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.appId,SmPolicyDecision.pccRules,appId,OpenAPI leaf field,O/C,,string,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A10, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R10 | T1-R12,T1-A05 | T1-A10 | T1-A11 | T1-A12,REVIEWED
FP-0035,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.appDescriptor,SmPolicyDecision.pccRules,appDescriptor,OpenAPI leaf field,O/C,,ApplicationDescriptor,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A10, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R10 | T1-R12,T1-A10 | T1-A11 | T1-A12,REVIEWED
FP-0036,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.contVer,SmPolicyDecision.pccRules,contVer,OpenAPI leaf field,O/C,,ContentVersion (TS29514_Npcf_PolicyAuthorization.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A10, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R10 | T1-R12,T1-A10 | T1-A11 | T1-A12,REVIEWED
FP-0037,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.pccRuleId,SmPolicyDecision.pccRules,pccRuleId,OpenAPI leaf field,M,,string,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A01, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R12,T1-A01 | T1-A11 | T1-A12,REVIEWED
FP-0038,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.precedence,SmPolicyDecision.pccRules,precedence,OpenAPI leaf field,O/C,,Uinteger (TS29571_CommonData.yaml),3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A05, T1-A09, T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R05 | T1-R12,T1-A05 | T1-A09 | T1-A11 | T1-A12,REVIEWED
FP-0039,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.afSigProtocol,SmPolicyDecision.pccRules,afSigProtocol,OpenAPI leaf field,O/C,,AfSigProtocol,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12,REVIEWED
FP-0040,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.appReloc,SmPolicyDecision.pccRules,appReloc,OpenAPI leaf field,O/C,,boolean,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12,REVIEWED
FP-0041,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.easRedisInd,SmPolicyDecision.pccRules,easRedisInd,OpenAPI leaf field,O/C,,boolean,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12,REVIEWED
FP-0042,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.refQosData,SmPolicyDecision.pccRules,refQosData,OpenAPI leaf field,O/C,1..1,"array<string>; minItems=1, maxItems=1",3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A02, T1-A11, T1-A12.",T1-R01 | T1-R02 | T1-R04 | T1-R09 | T1-R12,T1-A02 | T1-A11 | T1-A12,REVIEWED
FP-0043,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.refAltQosParams,SmPolicyDecision.pccRules,refAltQosParams,OpenAPI leaf field,O/C,1..N,array<string>; minItems=1,3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A02, T1-A11, T1-A12.",T1-R01 | T1-R02 | T1-R04 | T1-R09 | T1-R12,T1-A02 | T1-A11 | T1-A12,REVIEWED
FP-0044,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.refTcData,SmPolicyDecision.pccRules,refTcData,OpenAPI leaf field,O/C,1..1,"array<string>; minItems=1, maxItems=1",3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A11, T1-A12.",T1-R01 | T1-R04 | T1-R12,T1-A11 | T1-A12,REVIEWED
FP-0045,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.refChgData,SmPolicyDecision.pccRules,refChgData,OpenAPI leaf field,O/C,1..1,"array<string>; minItems=1, maxItems=1, nullable",3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A03, T1-A04, T1-A05, T1-A11, T1-A12.",T1-R01 | T1-R02 | T1-R04 | T1-R05 | T1-R12,T1-A03 | T1-A04 | T1-A05 | T1-A11 | T1-A12,REVIEWED
FP-0046,T1,SmPolicyDecision,Canonical tree; Create response / Update response / UpdateNotify,SBI/OpenAPI,SmPolicyDecision.pccRules.refChgN3gData,SmPolicyDecision.pccRules,refChgN3gData,OpenAPI leaf field,O/C,1..1,"array<string>; minItems=1, maxItems=1, nullable",3GPP TS 29.512; TS 29.571; reachable Rel-17 imports,TS 29.512 V17.18.0; TS 29.571 V17.12.0,"TS 29.512 §§4.2, 5.6.2.4–5.6.2.14 and Annex A; imported common schemas",DIRECT,"Directly mapped to charging-threat candidate(s): T1-A03, T1-A04, T1-A11, T1-A12.",T1-R01 | T1-R02 | T1-R04 | T1-R12,T1-A03 | T1-A04 | T1-A11 | T1-A12,REVIEWED
