scenario_id,surface,message,scenario_name,field_patterns,matched_field_count,matched_field_examples,field_mapping_mode,constraint_ids,attacker_nf,violated_invariants,candidate_class,implementation_priority,testbed_support_expectation,initial_validation_status,standard_basis,required_evidence,recommended_workload
T1-A16,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Online/offline charging-mode inconsistency,SmPolicyDecision\.(online|offline|offlineChOnly)$ | SmPolicyDecision\.chgDecs\.(online|offline)$,5,SmPolicyDecision.chgDecs.offline | SmPolicyDecision.chgDecs.online | SmPolicyDecision.offline | SmPolicyDecision.online | SmPolicyDecision.offlineChOnly,FIELD_AND_RELATION,T1-R08,V-PCF,"Sem,Comp,Uniq,Deriv",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A17,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Reporting-level substitution,SmPolicyDecision\.chgDecs\.reportingLevel$,1,SmPolicyDecision.chgDecs.reportingLevel,FIELD_AND_RELATION,T1-R08,V-PCF,"Ctx,Uniq,Comp",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A18,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),SDF-handling semantic manipulation,SmPolicyDecision\.chgDecs\.sdfHandl$,1,SmPolicyDecision.chgDecs.sdfHandl,FIELD_AND_RELATION,T1-R04 | T1-R08,V-PCF,"Sem,Auth,Comp",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A19,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Sponsor/application-provider attribution substitution,SmPolicyDecision\.chgDecs\.(sponsorId|appSvcProvId)$,2,SmPolicyDecision.chgDecs.sponsorId | SmPolicyDecision.chgDecs.appSvcProvId,FIELD_AND_RELATION,T1-R10,V-PCF,"Attr,Ctx",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W5_TWO_SUBSCRIBERS
T1-A20,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),AF charging identifier substitution or reuse,SmPolicyDecision\.chgDecs\.(afChargingIdentifier|afChargId)$,2,SmPolicyDecision.chgDecs.afChargingIdentifier | SmPolicyDecision.chgDecs.afChargId,FIELD_AND_RELATION,T1-R10,V-PCF,"Attr,Uniq,Ctx",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A21,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Usage-monitoring volume-threshold manipulation,SmPolicyDecision\.umDecs\.(volumeThreshold|volumeThresholdUplink|volumeThresholdDownlink|nextVolThreshold|nextVolThresholdUplink|nextVolThresholdDownlink)$,6,SmPolicyDecision.umDecs.volumeThreshold | SmPolicyDecision.umDecs.volumeThresholdUplink | SmPolicyDecision.umDecs.volumeThresholdDownlink | SmPolicyDecision.umDecs.nextVolThreshold | SmPolicyDecision.umDecs.nextVolThresholdUplink | SmPolicyDecision.umDecs.nextVolThresholdDownlink,FIELD_AND_RELATION,T1-R07,V-PCF,"Comp,Uniq,Acc,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A22,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Usage-monitoring time/inactivity manipulation,SmPolicyDecision\.umDecs\.(timeThreshold|nextTimeThreshold|inactivityTime)$,3,SmPolicyDecision.umDecs.timeThreshold | SmPolicyDecision.umDecs.nextTimeThreshold | SmPolicyDecision.umDecs.inactivityTime,FIELD_AND_RELATION,T1-R07,V-PCF,"Comp,Uniq,Acc",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W7_TIME_BOUNDARY
T1-A23,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Monitoring-time or tariff-boundary shift,SmPolicyDecision\.umDecs\.monitoringTime$,1,SmPolicyDecision.umDecs.monitoringTime,FIELD_AND_RELATION,T1-R07,V-PCF,"Ctx,Acc",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A24,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Excluded PCC-rule list manipulation,SmPolicyDecision\.umDecs\.exUsagePccRuleIds$,1,SmPolicyDecision.umDecs.exUsagePccRuleIds,FIELD_AND_RELATION,T1-R03 | T1-R04,V-PCF,"Auth,Comp,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A25,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Default-QoS 5QI tariff rewrite,SmPolicyDecision\.sessRules\.authDefQos\.5qi$,1,SmPolicyDecision.sessRules.authDefQos.5qi,FIELD_AND_RELATION,T1-R09,V-PCF,"Auth,Ctx",DIRECT,P0,EXISTING_POC_REGRESSION,E2E,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A26,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Referenced QoS/QoS-characteristics 5QI substitution,SmPolicyDecision\.(qosDecs|qosChars)\.5qi$,2,SmPolicyDecision.qosDecs.5qi | SmPolicyDecision.qosChars.5qi,FIELD_AND_RELATION,T1-R02 | T1-R09,V-PCF,"Auth,Ctx,Deriv",CONDITIONAL,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A27,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),QoS attribute tariff-context substitution,SmPolicyDecision\.(sessRules\.authDefQos|qosDecs|qosChars)\.(priorityLevel|averWindow|maxDataBurstVol|extMaxDataBurstVol|maxbrUl|maxbrDl|gbrUl|gbrDl|packetDelayBudget|packetErrorRate)$,23,SmPolicyDecision.sessRules.authDefQos.priorityLevel | SmPolicyDecision.sessRules.authDefQos.averWindow | SmPolicyDecision.sessRules.authDefQos.maxDataBurstVol | SmPolicyDecision.sessRules.authDefQos.maxbrUl | SmPolicyDecision.sessRules.authDefQos.maxbrDl | SmPolicyDecision.sessRules.authDefQos.gbrUl | SmPolicyDecision.sessRules.authDefQos.gbrDl | SmPolicyDecision.sessRules.authDefQos.extMaxDataBurstVol,FIELD_AND_RELATION,T1-R09,V-PCF,"Ctx,Auth",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A28,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Policy condition time-window manipulation,SmPolicyDecision\.conds\.(activationTime|deactivationTime)$ | SmPolicyDecision\.(pccRules|sessRules)\.refCondData$,4,SmPolicyDecision.sessRules.refCondData | SmPolicyDecision.pccRules.refCondData | SmPolicyDecision.conds.activationTime | SmPolicyDecision.conds.deactivationTime,FIELD_AND_RELATION,T1-R06,V-PCF,"Auth,Ctx,Comp",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A29,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Policy condition access/RAT substitution,SmPolicyDecision\.conds\.(accessType|ratType)$ | SmPolicyDecision\.(pccRules|sessRules)\.refCondData$,4,SmPolicyDecision.sessRules.refCondData | SmPolicyDecision.pccRules.refCondData | SmPolicyDecision.conds.accessType | SmPolicyDecision.conds.ratType,FIELD_AND_RELATION,T1-R06,V-PCF,"Ctx,Auth",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
T1-A30,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),CHF endpoint or instance substitution,SmPolicyDecision\.chargingInfo\.,6,SmPolicyDecision.chargingInfo.primaryChfAddress | SmPolicyDecision.chargingInfo.secondaryChfAddress | SmPolicyDecision.chargingInfo.primaryChfSetId | SmPolicyDecision.chargingInfo.primaryChfInstanceId | SmPolicyDecision.chargingInfo.secondaryChfSetId | SmPolicyDecision.chargingInfo.secondaryChfInstanceId,FIELD_AND_RELATION,T1-R11,V-PCF,"Auth,Ctx,Attr",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A31,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),CHF failover-pair inconsistency,SmPolicyDecision\.chargingInfo\.(primary|secondary),6,SmPolicyDecision.chargingInfo.primaryChfAddress | SmPolicyDecision.chargingInfo.secondaryChfAddress | SmPolicyDecision.chargingInfo.primaryChfSetId | SmPolicyDecision.chargingInfo.primaryChfInstanceId | SmPolicyDecision.chargingInfo.secondaryChfSetId | SmPolicyDecision.chargingInfo.secondaryChfInstanceId,FIELD_AND_RELATION,T1-R11,V-PCF,"Uniq,Ctx,Attr",STRUCTURAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A32,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Stale SmPolicyDecision replay or rollback,SmPolicyDecision\.,0,,RELATION_ONLY,T1-R12,V-PCF or intermediate host,"Fresh,Ctx,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W4_TWO_ACCOUNTING_BOUNDARIES
T1-A33,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Cross-subscriber/session policy-decision substitution,SmPolicyDecision\.,0,,RELATION_ONLY,T1-R13,V-PCF or intermediate host,"Attr,Ctx,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W5_TWO_SUBSCRIBERS
T1-A34,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Nullable/removable update semantic confusion,SmPolicyDecision\..*nullable,0,,RELATION_ONLY,T1-R12,V-PCF,"Sem,Comp,Fresh",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W1_UL_ONLY
T1-A35,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Duplicate JSON key or object collision,SmPolicyDecision\.(pccRules|chgDecs|umDecs|qosDecs|sessRules)\.,0,,RELATION_ONLY,T1-R01 | T1-R12,V-PCF or serializer host,"Sem,Uniq,Deriv",STRUCTURAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W4_TWO_ACCOUNTING_BOUNDARIES
T1-A36,T1,SmPolicyDecision (Create response / Update response / UpdateNotify),Revalidation-time manipulation,SmPolicyDecision\.revalidationTime$,1,SmPolicyDecision.revalidationTime,FIELD_AND_RELATION,T1-R12,V-PCF,"Fresh,Ctx",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,3GPP TS 29.512 V17.18.0; TS 29.571 V17.12.0; TS 23.503 semantic context,N7 JSON before/after mutation; V-SMF parsed policy state; derived PFCP diff; Gy/OCS usage and charge; baseline/attack PCAP and logs,W6_DIFFERENTIATED_CONTEXT
